ID,time,outsideTemp,barometer,raintoday,UV,windgustmph,windSpeed,radiation,dewpoint,rainrate,direction,date,timestamp,lightning
1,0:00,3.4,1015.50,0.00,0,0.0,0.0,0.00,1.60,0.00,329.00,27 Oct,2018-10-26 23:00:07,0
2,0:00,3.4,1015.50,0.00,0,0.0,0.0,0.00,1.60,0.00,329.00,27 Oct,2018-10-26 23:00:22,0
3,0:00,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:00:23,0
4,0:00,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:00:29,0
5,0:00,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:00:36,0
6,0:00,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:00:46,0
7,0:00,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:00:48,0
8,0:00,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:00:56,0
9,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:02,0
10,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:10,0
11,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:18,0
12,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:24,0
13,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:30,0
14,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:37,0
15,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:44,0
16,0:01,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:01:52,0
17,0:02,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:02:00,0
18,0:02,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:02:09,0
19,0:02,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:02:16,0
20,0:02,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:02:23,0
21,0:02,3.3,1015.50,0.00,0,0.0,0.0,0.00,1.50,0.00,329.00,27 Oct,2018-10-26 23:02:30,0
22,0:02,3.2,1015.50,0.00,0,0.0,0.0,0.00,1.40,0.00,329.00,27 Oct,2018-10-26 23:02:37,0
23,0:02,3.2,1015.50,0.00,0,0.0,0.0,0.00,1.40,0.00,329.00,27 Oct,2018-10-26 23:02:43,0
24,0:02,3.2,1015.50,0.00,0,0.0,0.0,0.00,1.40,0.00,329.00,27 Oct,2018-10-26 23:02:51,0
25,0:02,3.2,1015.50,0.00,0,0.0,0.0,0.00,1.40,0.00,329.00,27 Oct,2018-10-26 23:02:58,0
26,0:03,3.2,1015.50,0.00,0,0.0,0.0,0.00,1.60,0.00,329.00,27 Oct,2018-10-26 23:03:05,0
